Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747789217,"2025-05-21 01:00:17",B5740,CZ3401,8412.48,811.176,275,111.22693634033,24.631673812866
1747789231,"2025-05-21 01:00:31",B5740,CZ3401,8412.48,811.176,275,111.19323730469,24.634552001953
1747789246,"2025-05-21 01:00:46",B5740,CZ3401,8412.48,809.324,276,111.16024017334,24.637493133545
1747789261,"2025-05-21 01:01:01",B5740,CZ3401,8412.48,809.324,275,111.12717437744,24.640331268311
1747789276,"2025-05-21 01:01:16",B5740,CZ3401,8412.48,809.324,275,111.09395599365,24.643157958984
1747789291,"2025-05-21 01:01:31",B5740,CZ3401,8412.48,809.324,275,111.06084442139,24.645950317383
1747789306,"2025-05-21 01:01:46",B5740,CZ3401,8412.48,811.176,275,111.02798461914,24.64875793457
1747789322,"2025-05-21 01:02:02",B5740,CZ3401,8412.48,811.176,275,110.99420928955,24.651626586914
1747789336,"2025-05-21 01:02:16",B5740,CZ3401,8412.48,811.176,275,110.96008300781,24.654556274414
1747789351,"2025-05-21 01:02:31",B5740,CZ3401,8412.48,811.176,275,110.92802429199,24.657276153564
1747789366,"2025-05-21 01:02:46",B5740,CZ3401,8412.48,813.028,275,110.89533233643,24.660049438477
1747789381,"2025-05-21 01:03:01",B5740,CZ3401,8412.48,814.88,275,110.86122131348,24.662910461426
1747789396,"2025-05-21 01:03:16",B5740,CZ3401,8412.48,814.88,276,110.82870483398,24.665679931641
1747789411,"2025-05-21 01:03:31",B5740,CZ3401,8412.48,814.88,288,110.79584503174,24.672180175781
1747789426,"2025-05-21 01:03:46",B5740,CZ3401,8412.48,814.88,300,110.7657699585,24.685394287109
1747789441,"2025-05-21 01:04:01",B5740,CZ3401,8412.48,820.436,318,110.73970031738,24.705598831177
1747789457,"2025-05-21 01:04:17",B5740,CZ3401,8412.48,824.14,328,110.72046661377,24.731300354004
1747789471,"2025-05-21 01:04:31",B5740,CZ3401,8412.48,822.288,326,110.70202636719,24.756759643555
1747789486,"2025-05-21 01:04:46",B5740,CZ3401,8412.48,822.288,325,110.68285369873,24.782176971436
1747789501,"2025-05-21 01:05:01",B5740,CZ3401,8412.48,820.436,326,110.6635055542,24.807540893555
1747789512,"2025-05-21 01:05:12",B5740,CZ3401,8412.48,820.436,325,110.6506652832,24.824306488037
1747789526,"2025-05-21 01:05:26",B5740,CZ3401,8412.48,820.436,324,110.63146209717,24.848789215088
1747789540,"2025-05-21 01:05:40",B5740,CZ3401,8412.48,820.436,322,110.61767578125,24.865264892578
1747789552,"2025-05-21 01:05:52",B5740,CZ3401,8412.48,818.584,319,110.59534454346,24.889755249023
1747789566,"2025-05-21 01:06:06",B5740,CZ3401,8412.48,818.584,318,110.57355499268,24.912010192871
1747789581,"2025-05-21 01:06:21",B5740,CZ3401,8412.48,818.584,317,110.5500793457,24.93489074707
1747789597,"2025-05-21 01:06:37",B5740,CZ3401,8412.48,818.584,316,110.52728271484,24.956655502319
1747789611,"2025-05-21 01:06:51",B5740,CZ3401,8412.48,820.436,316,110.50359344482,24.978973388672
1747789626,"2025-05-21 01:07:06",B5740,CZ3401,8412.48,820.436,316,110.47986602783,25.001111984253
1747789641,"2025-05-21 01:07:21",B5740,CZ3401,8412.48,822.288,316,110.4563369751,25.023038864136
1747789656,"2025-05-21 01:07:36",B5740,CZ3401,8412.48,822.288,316,110.43223571777,25.045568466187
1747789671,"2025-05-21 01:07:51",B5740,CZ3401,8412.48,820.436,316,110.40883636475,25.067459106445
1747789687,"2025-05-21 01:08:07",B5740,CZ3401,8412.48,822.288,316,110.38507843018,25.089797973633
1747789701,"2025-05-21 01:08:21",B5740,CZ3401,8412.48,824.14,316,110.36165618896,25.111766815186
1747789716,"2025-05-21 01:08:36",B5740,CZ3401,8412.48,829.696,316,110.33797454834,25.134111404419
1747789731,"2025-05-21 01:08:51",B5740,CZ3401,8412.48,829.696,316,110.31449890137,25.156223297119
1747789742,"2025-05-21 01:09:02",B5740,CZ3401,8412.48,829.696,316,110.29871368408,25.171096801758
1747789756,"2025-05-21 01:09:16",B5740,CZ3401,8412.48,829.696,316,110.27490234375,25.193698883057
1747789771,"2025-05-21 01:09:31",B5740,CZ3401,8412.48,831.548,316,110.25101470947,25.216369628906
1747789786,"2025-05-21 01:09:46",B5740,CZ3401,8412.48,831.548,316,110.22679901123,25.2392578125
1747789801,"2025-05-21 01:10:01",B5740,CZ3401,8412.48,833.4,316,110.20328521729,25.261665344238
1747789816,"2025-05-21 01:10:16",B5740,CZ3401,8412.48,833.4,316,110.17964935303,25.284301757812
1747789831,"2025-05-21 01:10:31",B5740,CZ3401,8412.48,833.4,317,110.1559753418,25.306913375854
1747789846,"2025-05-21 01:10:46",B5740,CZ3401,8412.48,835.252,316,110.1323928833,25.329391479492
1747789861,"2025-05-21 01:11:01",B5740,CZ3401,8412.48,835.252,316,110.10828399658,25.352416992188
1747789876,"2025-05-21 01:11:16",B5740,CZ3401,8412.48,835.252,316,110.08432769775,25.375350952148
