dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1747788756,1,112.24560546875,24.538242340088,0,14,814.88,0,0,0,8412.48
1747788771,1,112.20896911621,24.541688919067,0,14,814.88,0,0,0,8412.48
1747788791,1,112.16667938232,24.545597076416,0,14,818.584,0,0,0,8412.48
1747788806,1,112.12837982178,24.54913520813,0,14,816.732,0,0,0,8412.48
1747788821,1,112.09396362305,24.552429199219,0,14,818.584,0,0,0,8412.48
1747788836,1,112.060546875,24.555633544922,0,14,816.732,0,0,0,8412.48
1747788856,1,112.02131652832,24.559331893921,0,14,814.88,0,0,0,8412.48
1747788867,1,111.99820709229,24.561473846436,0,14,814.88,0,0,0,8412.48
1747788879,1,111.97174072266,24.56396484375,0,14,811.176,0,0,0,8412.48
1747788894,1,111.9390335083,24.566986083984,0,14,809.324,0,0,0,8412.48
1747788909,1,111.8971786499,24.570877075195,0,14,807.472,0,0,0,8412.48
1747788924,1,111.86376190186,24.573944091797,0,14,807.472,0,0,0,8412.48
1747788943,1,111.82479858398,24.577560424805,0,14,807.472,0,0,0,8412.48
1747788957,1,111.79229736328,24.580581665039,0,14,807.472,0,0,0,8412.48
1747788972,1,111.76376342773,24.583213806152,0,14,807.472,0,0,0,8412.48
1747788987,1,111.73271942139,24.586051940918,0,14,807.472,0,0,0,8412.48
1747789020,1,111.6541519165,24.593399047852,0,14,807.472,0,0,0,8412.48
1747789049,1,111.59597015381,24.598754882812,0,14,809.324,0,0,0,8412.48
1747789064,1,111.56133270264,24.601867675781,0,14,809.324,0,0,0,8412.48
1747789079,1,111.52841949463,24.604843139648,0,14,811.176,0,0,0,8412.48
1747789094,1,111.49671936035,24.607698440552,0,14,809.324,0,0,0,8412.48
1747789109,1,111.46292877197,24.610771179199,0,14,811.176,0,0,0,8412.48
1747789124,1,111.4301071167,24.613677978516,0,14,811.176,0,0,0,8412.48
1747789139,1,111.39530181885,24.616823196411,0,14,811.176,0,0,0,8412.48
1747789156,1,111.35109710693,24.620733261108,0,14,811.176,0,0,0,8412.48
1747789171,1,111.32888793945,24.622695922852,0,14,811.176,0,0,0,8412.48
1747789186,1,111.29300689697,24.625900268555,0,14,811.176,0,0,0,8412.48
1747789201,1,111.25963592529,24.628833770752,0,14,809.324,0,0,0,8412.48
1747789217,1,111.22693634033,24.631673812866,0,14,811.176,0,0,0,8412.48
1747789231,1,111.19323730469,24.634552001953,0,14,811.176,0,0,0,8412.48
1747789246,1,111.16024017334,24.637493133545,0,14,809.324,0,0,0,8412.48
1747789261,1,111.12717437744,24.640331268311,0,14,809.324,0,0,0,8412.48
1747789276,1,111.09395599365,24.643157958984,0,14,809.324,0,0,0,8412.48
1747789291,1,111.06084442139,24.645950317383,0,14,809.324,0,0,0,8412.48
1747789306,1,111.02798461914,24.64875793457,0,14,811.176,0,0,0,8412.48
1747789322,1,110.99420928955,24.651626586914,0,14,811.176,0,0,0,8412.48
1747789336,1,110.96008300781,24.654556274414,0,14,811.176,0,0,0,8412.48
1747789351,1,110.92802429199,24.657276153564,0,14,811.176,0,0,0,8412.48
1747789366,1,110.89533233643,24.660049438477,0,14,813.028,0,0,0,8412.48
1747789381,1,110.86122131348,24.662910461426,0,14,814.88,0,0,0,8412.48
1747789396,1,110.82870483398,24.665679931641,0,14,814.88,0,0,0,8412.48
1747789411,1,110.79584503174,24.672180175781,0,14,814.88,0,0,0,8412.48
1747789426,1,110.7657699585,24.685394287109,0,14,814.88,0,0,0,8412.48
1747789441,1,110.73970031738,24.705598831177,0,14,820.436,0,0,0,8412.48
1747789457,1,110.72046661377,24.731300354004,0,14,824.14,0,0,0,8412.48
1747789471,1,110.70202636719,24.756759643555,0,14,822.288,0,0,0,8412.48
1747789486,1,110.68285369873,24.782176971436,0,14,822.288,0,0,0,8412.48
1747789501,1,110.6635055542,24.807540893555,0,14,820.436,0,0,0,8412.48
1747789512,1,110.6506652832,24.824306488037,0,14,820.436,0,0,0,8412.48
1747789526,1,110.63146209717,24.848789215088,0,14,820.436,0,0,0,8412.48
1747789540,1,110.61767578125,24.865264892578,0,14,820.436,0,0,0,8412.48
1747789552,1,110.59534454346,24.889755249023,0,14,818.584,0,0,0,8412.48
1747789566,1,110.57355499268,24.912010192871,0,14,818.584,0,0,0,8412.48
1747789581,1,110.5500793457,24.93489074707,0,14,818.584,0,0,0,8412.48
1747789597,1,110.52728271484,24.956655502319,0,14,818.584,0,0,0,8412.48
1747789611,1,110.50359344482,24.978973388672,0,14,820.436,0,0,0,8412.48
1747789626,1,110.47986602783,25.001111984253,0,14,820.436,0,0,0,8412.48
1747789641,1,110.4563369751,25.023038864136,0,14,822.288,0,0,0,8412.48
1747789656,1,110.43223571777,25.045568466187,0,14,822.288,0,0,0,8412.48
1747789671,1,110.40883636475,25.067459106445,0,14,820.436,0,0,0,8412.48
1747789687,1,110.38507843018,25.089797973633,0,14,822.288,0,0,0,8412.48
1747789701,1,110.36165618896,25.111766815186,0,14,824.14,0,0,0,8412.48
1747789716,1,110.33797454834,25.134111404419,0,14,829.696,0,0,0,8412.48
1747789731,1,110.31449890137,25.156223297119,0,14,829.696,0,0,0,8412.48
1747789742,1,110.29871368408,25.171096801758,0,14,829.696,0,0,0,8412.48
1747789756,1,110.27490234375,25.193698883057,0,14,829.696,0,0,0,8412.48
1747789771,1,110.25101470947,25.216369628906,0,14,831.548,0,0,0,8412.48
1747789786,1,110.22679901123,25.2392578125,0,14,831.548,0,0,0,8412.48
1747789801,1,110.20328521729,25.261665344238,0,14,833.4,0,0,0,8412.48
1747789816,1,110.17964935303,25.284301757812,0,14,833.4,0,0,0,8412.48
1747789831,1,110.1559753418,25.306913375854,0,14,833.4,0,0,0,8412.48
1747789846,1,110.1323928833,25.329391479492,0,14,835.252,0,0,0,8412.48
1747789861,1,110.10828399658,25.352416992188,0,14,835.252,0,0,0,8412.48
1747789876,1,110.08432769775,25.375350952148,0,14,835.252,0,0,0,8412.48
1747789891,1,110.06025695801,25.398389816284,0,14,837.104,0,0,0,8412.48
1747789906,1,110.03677368164,25.420761108398,0,14,837.104,0,0,0,8412.48
1747789921,1,110.01289367676,25.443450927734,0,14,838.956,0,0,0,8412.48
1747789936,1,109.98905181885,25.466121673584,0,14,838.956,0,0,0,8412.48
1747789951,1,109.96129608154,25.492492675781,0,14,838.956,0,0,0,8412.48
1747789966,1,109.93789672852,25.514650344849,0,14,840.808,0,0,0,8412.48
1747789981,1,109.91246032715,25.538789749146,0,14,842.66,0,0,0,8412.48
1747789996,1,109.88677978516,25.563079833984,0,14,842.66,0,0,0,8412.48
1747790011,1,109.86328125,25.585372924805,0,14,844.512,0,0,0,8412.48
1747790026,1,109.83918762207,25.608200073242,0,14,844.512,0,0,0,8412.48
1747790041,1,109.81275177002,25.628171920776,0,14,842.66,0,0,0,8412.48
1747790061,1,109.77935791016,25.642044067383,0,14,840.808,0,0,0,8412.48
1747790076,1,109.74527740479,25.652297973633,0,14,844.512,0,0,0,8412.48
1747790091,1,109.71278381348,25.662090301514,0,14,842.66,0,0,0,8412.48
